DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,3.3336000000000001,0,0,0,0,0,0
2,1,2,3.4382999999999999,0,0,0,0,0,0
3,2,3,3.4382999999999999,0,0,0,0,0,0
4,3,4,3.4034,0,0,0,0,0,0
5,4,5,3.4731999999999998,0,0,0,0,0,0
6,5,6,3.4382999999999999,0,0,0,0,0,0
7,6,7,3.4382999999999999,0,0,0,0,0,0
8,7,8,3.5954000000000002,0,0,0,0,0,0
9,8,9,3.6128,0,0,0,0,0,0
10,9,10,3.9443999999999999,0,0,0,0,0,0
11,10,11,4.1887999999999996,0,0,0,0,0,0
12,11,12,4.6775000000000002,0,0,0,0,0,0
13,12,13,4.7298,0,0,0,0,0,0
14,13,14,4.6948999999999996,0,0,0,0,0,0
15,14,15,4.7473000000000001,0,0,0,0,0,0
16,15,16,4.9218000000000002,0,0,0,0,0,0
17,16,17,4.9566999999999997,0,0,0,0,0,0
