LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,ClossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG,LinkWAID
1,0,0,2,1,2,0,0,0,0,0,0,0,0,1.04,1,1,0,30,30,0,0,0
2,0,1,3,2,3,0,0,0,0,0,0,0,0,1.003,1,1,0,30,30,0,0,0
3,0,2,4,3,4,0,0,0,0,0,0,0,0,0.892,1,1,0,30,30,0,0,0
4,0,3,5,4,5,0,0,0,0,0,0,0,0,1.044,1,1,0,30,30,0,0,0
5,0,4,6,5,6,0,0,0,0,0,0,0,0,1.044,1,1,0,30,30,0,0,0
6,0,5,7,6,7,0,0,0,0,0,0,0,0,1.018,1,1,0,30,30,0,0,0
7,0,6,9,7,8,0,0,0,0,0,0,0,0,0.877,1,1,0,30,30,0,0,0
9,0,7,10,8,10,0,0,0,0,0,0,0,0,0.995,1,1,0,30,30,0,0,0
10,0,9,11,10,11,0,0,0,0,0,0,0,0,0.984,1,1,0,30,30,0,0,0
11,0,10,12,11,12,0,0,0,0,0,0,0,0,0.805,1,1,0,30,30,0,0,0
12,0,11,13,12,13,0,0,0,0,0,0,0,0,0.946,1,1,0,30,30,0,0,0
13,0,12,14,13,14,0,0,0,0,0,0,0,0,0.608,1,1,0,30,30,0,0,0
14,0,13,15,14,15,0,0,0,0,0,0,0,0,0.639,1,1,0,30,30,0,0,0
15,0,14,16,15,16,0,0,0,0,0,0,0,0,0.688,1,1,0,30,30,0,0,0
16,0,15,17,16,17,0,0,0,0,0,0,0,0,0.688,1,1,0,30,30,0,0,0
17,0,16,18,17,18,0,0,0,0,0,0,0,0,1.06,1,1,0,30,30,0,0,0
18,0,17,0,18,19,0,0,0,0,0,0,0,0,0.729,1,1,0,30,30,0,0,0
