PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,33.0000029,129.3000377,-1.636,0.891,9.778,1,4929,44,0
2,33.0000021,129.3000338,-1.636,0.632,8.771,1,4929,44,0
3,33.000001,129.3000301,-1.636,0.322,7.817,1,4929,44,0
4,33.0000002,129.3000268,-1.636,0.076,6.96,1,4929,44,0
5,32.5959993,129.300023,-1.636,-0.219,5.959,1,4929,34,90
6,32.5959983,129.3000191,-1.636,-0.514,4.958,1,4929,34,90
7,32.5959973,129.3000154,-1.636,-0.836,3.992,1,4929,34,90
8,32.5959963,129.3000122,-1.636,-1.126,3.164,1,4929,34,90
10,32.5959948,129.3000088,-1.636,-1.609,2.294,1,4929,34,90
11,32.5959932,129.3000055,-1.636,-2.097,1.44,1,4929,34,90
12,32.5959914,129.3000033,-1.636,-2.638,0.844,1,4929,34,90
13,32.5959888,129.3000013,-1.636,-3.439,0.34,1,4929,34,90
14,32.5959869,129.300001,-1.636,-4.041,0.253,1,4929,34,90
15,32.5959848,129.3000011,-1.636,-4.679,0.285,1,4929,34,90
16,32.5959826,129.3000014,-1.636,-5.363,0.362,1,4929,34,90
17,32.5959804,129.3000017,-1.636,-6.047,0.439,1,4929,34,90
18,32.595977,129.3000026,-1.636,-7.079,0.68,1,4929,34,90
19,32.5959748,129.3000036,-1.636,-7.766,0.924,1,4929,34,90
20,33.0000039,129.3000099,-1.636,1.187,2.563,1,4929,44,0
21,33.0000098,129.3000341,-1.636,3.019,8.853,1,4929,44,0
22,32.5959995,129.3000002,-1.636,-0.152,0.059,1,4929,34,90
23,32.5959949,129.2959942,-1.636,-1.558,-1.501,1,4929,33,99
24,32.5959907,129.2959915,-1.636,-2.863,-2.207,1,4929,33,99
25,32.5959861,129.2959914,-1.636,-4.296,-2.229,1,4929,33,99
26,32.5959811,129.2959924,-1.636,-5.831,-1.981,1,4929,33,99
27,32.5959761,129.2959937,-1.636,-7.373,-1.63,1,4929,33,99
28,32.5959715,129.295996,-1.636,-8.791,-1.049,1,4929,33,99
29,32.5959899,129.3000159,-1.636,-3.1,4.12,1,4929,34,90
30,32.5959951,129.3000385,-1.636,-1.524,9.982,1,4929,34,90
31,32.5959883,129.3000122,-1.636,-3.616,3.16,1,4929,34,90
32,32.5959863,129.3000101,-1.636,-4.224,2.612,1,4929,34,90
33,32.5959834,129.3000094,-1.636,-5.1,2.45,1,4929,34,90
34,32.5959801,129.3000099,-1.636,-6.132,2.581,1,4929,34,90
35,32.5959766,129.3000108,-1.636,-7.206,2.8,1,4929,34,90
36,33.0000039,129.3000099,-1.636,1.197,2.579,1,4929,44,0
36,33.0000039,129.3000099,-1.636,1.197,2.579,1,4929,44,0
37,33.0000097,129.3000339,-1.636,2.981,8.787,1,4929,44,0
38,32.595995,129.3000384,-1.636,-1.528,9.961,1,4929,34,90
40,32.5959899,129.3000158,-1.636,-3.098,4.111,1,4929,34,90
41,32.5959882,129.3000122,-1.636,-3.63,3.163,1,4929,34,90
42,32.5959862,129.30001,-1.636,-4.238,2.598,1,4929,34,90
43,32.5959834,129.3000095,-1.636,-5.107,2.461,1,4929,34,90
44,32.5959801,129.3000099,-1.636,-6.12,2.578,1,4929,34,90
45,32.5959766,129.3000109,-1.636,-7.216,2.819,1,4929,34,90
46,32.5959715,129.295996,-1.636,-8.785,-1.032,1,4929,33,99
47,32.5959761,129.2959937,-1.636,-7.349,-1.627,1,4929,33,99
48,32.5959813,129.2959924,-1.636,-5.77,-1.983,1,4929,33,99
49,32.5959861,129.2959913,-1.636,-4.277,-2.261,1,4929,33,99
50,32.5959907,129.2959914,-1.636,-2.869,-2.222,1,4929,33,99
51,32.595995,129.2959943,-1.636,-1.536,-1.48,1,4929,33,99
52,32.5959995,129.3000002,-1.636,-0.151,0.059,1,4929,34,90
