LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,ClossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG,LinkWAID
6,0,29,7,30,7,0,0,0,0,0,0,0,0,2.461,1,1,0,30,30,0,0,0
7,0,6,8,7,8,0,0,0,0,0,0,0,0,1.225,1,1,0,30,30,0,0,0
8,0,7,9,8,9,0,0,0,0,0,0,0,0,0.634,1,1,0,30,30,0,0,0
9,0,8,10,9,10,0,0,0,0,0,0,0,0,0.416,1,1,0,30,30,0,0,0
10,0,9,11,10,11,0,0,0,0,0,0,0,0,0.278,1,1,0,30,30,0,0,0
11,0,10,12,11,12,0,0,0,0,0,0,0,0,0.261,1,1,0,30,30,0,0,0
12,0,11,13,12,13,0,0,0,0,0,0,0,0,0.328,1,1,0,30,30,0,0,0
13,0,12,14,13,14,0,0,0,0,0,0,0,0,0.381,1,1,0,30,30,0,0,0
14,0,13,15,14,15,0,0,0,0,0,0,0,0,3.226,1,1,0,30,30,0,0,0
15,0,14,16,15,16,0,0,0,0,0,0,0,0,3.226,1,1,0,30,30,0,0,0
16,0,15,17,16,17,0,0,0,0,0,0,0,0,3.226,1,1,0,30,30,0,0,0
17,0,16,18,17,18,0,0,0,0,0,0,0,0,3.226,1,1,0,30,30,0,0,0
18,0,17,19,18,19,0,0,0,0,0,0,0,0,3.226,1,1,0,30,30,0,0,0
19,0,18,20,19,20,0,0,0,0,0,0,0,0,3.226,1,1,0,30,30,0,0,0
20,0,19,21,20,21,0,0,0,0,0,0,0,0,3.226,1,1,0,30,30,0,0,0
21,0,20,0,21,22,0,0,0,0,0,0,0,0,1.679,1,1,0,30,30,0,0,0
26,0,0,31,26,27,0,0,0,0,0,0,0,0,3.951,1,1,0,30,30,0,0,0
27,0,36,28,37,28,0,0,0,0,0,0,0,0,3.324,1,1,0,30,30,0,0,0
28,0,27,37,28,29,0,0,0,0,0,0,0,0,2.453,1,1,0,30,30,0,0,0
29,0,38,6,39,30,0,0,0,0,0,0,0,0,1.688,1,1,0,30,30,0,0,0
31,0,26,32,27,32,0,0,0,0,0,0,0,0,4.076,1,1,0,30,30,0,0,0
32,0,31,33,32,33,0,0,0,0,0,0,0,0,6.1,1,1,0,30,30,0,0,0
33,0,32,34,33,34,0,0,0,0,0,0,0,0,5.138,1,1,0,30,30,0,0,0
34,0,33,35,34,35,0,0,0,0,0,0,0,0,3.193,1,1,0,30,30,0,0,0
35,0,34,36,35,36,0,0,0,0,0,0,0,0,5.352,1,1,0,30,30,0,0,0
36,0,35,27,36,37,0,0,0,0,0,0,0,0,4.291,1,1,0,30,30,0,0,0
37,0,28,38,29,38,0,0,0,0,0,0,0,0,1.487,1,1,0,30,30,0,0,0
38,0,37,29,38,39,0,0,0,0,0,0,0,0,1.394,1,1,0,30,30,0,0,0
